_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry 6 Hourly (meter)
401770,401770,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,18-11-2022 00:00,-22.45
401769,401769,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,17-11-2022 18:00,-22.458
401768,401768,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,17-11-2022 12:00,-22.442
401767,401767,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,17-11-2022 06:00,-22.453
401766,401766,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,17-11-2022 00:00,-22.446
401765,401765,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,16-11-2022 18:00,1
401764,401764,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,16-11-2022 12:00,-22.437
401763,401763,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,16-11-2022 06:00,-22.46
401762,401762,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,16-11-2022 00:00,-22.454
401761,401761,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,15-11-2022 18:00,-22.461
